name,method,iters,condition,var,eps,ppl,pdv,re_a,re_b,re,adj_lpips
Trump_Biden,lam0.0,500,z0noise,,0.5,2.0145053640007973,0.09549007381770765,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.1040 0.1197 0.1253 0.1634 0.1852 0.3129 0.3579 0.3465 0.1957 0.1039
Trump_Biden,lam0.1,500,z0noise,,0.5,2.0002052038908005,0.10229421095469705,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.0876 0.1081 0.1282 0.1548 0.1937 0.3180 0.3789 0.3434 0.1853 0.1020
Trump_Biden,lam0.25,500,z0noise,,0.5,2.0099728107452393,0.10479030732430518,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.0824 0.1061 0.1340 0.1538 0.1971 0.3112 0.3915 0.3444 0.1931 0.0964
Trump_Biden,lam0.5,500,z0noise,,0.5,2.0367358326911926,0.10679669961756137,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.0885 0.1108 0.1424 0.1373 0.2055 0.2969 0.4005 0.3566 0.2091 0.0891
Trump_Biden,lam0.75,500,z0noise,,0.5,2.107290878891945,0.11235183975025596,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.1095 0.1195 0.1440 0.1354 0.2167 0.2747 0.3320 0.4685 0.2069 0.1001
Trump_Biden,lam1.0,500,z0noise,,0.5,2.2248604744672775,0.11416598801219369,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.1468 0.1319 0.1490 0.1328 0.2328 0.2647 0.3183 0.5149 0.1765 0.1572
Trump_Biden,lerp,,z0noise,,0.5,2.388996511697769,0.10360640686761213,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.4472 0.2363 0.0956 0.1354 0.3296 0.1595 0.1772 0.3509 0.2570 0.2003
Trump_Biden,slerp,,z0noise,,0.5,1.7775272130966187,0.07463398503320123,5.2789924666285515e-05,0.0004966711276210845,0.000274730526143685,0.0970 0.0851 0.0916 0.1530 0.2023 0.2553 0.3016 0.2481 0.2245 0.1189
anakin,lam0.0,500,z0noise,,0.5,1.5905823484063148,0.049615223206248414,0.010826215147972107,0.00014638742140959948,0.005486301284690853,0.0958 0.1017 0.1488 0.1911 0.2196 0.2443 0.1780 0.1789 0.1368 0.0957
anakin,lam0.1,500,z0noise,,0.5,1.5756111666560173,0.054852124482822014,0.010826215147972107,0.00014638742140959948,0.005486301284690853,0.0736 0.0972 0.1446 0.1911 0.2201 0.2495 0.1778 0.1917 0.1317 0.0984
anakin,lam0.25,500,z0noise,,0.5,1.603798657655716,0.05624512402220144,0.010826215147972107,0.00014638742140959948,0.005486301284690853,0.0648 0.0946 0.1528 0.1959 0.2131 0.2483 0.1862 0.2031 0.1445 0.1004
anakin,lam0.5,500,z0noise,,0.5,1.6971881240606308,0.05737688983022194,0.010826215147972107,0.00014638742140959948,0.005486301284690853,0.0672 0.0969 0.1784 0.2110 0.2110 0.2549 0.2036 0.1985 0.1721 0.1036
anakin,lam0.75,500,z0noise,,0.5,1.7942866012454033,0.05189842073426681,0.010826215147972107,0.00014638742140959948,0.005486301284690853,0.0809 0.1092 0.2150 0.2086 0.2053 0.2453 0.1977 0.2106 0.2006 0.1211
anakin,lam1.0,500,z0noise,,0.5,1.9968797490000725,0.04735774390230216,0.010826215147972107,0.00014638742140959948,0.005486301284690853,0.1023 0.1420 0.2473 0.2215 0.1978 0.2245 0.2393 0.2500 0.2159 0.1563
